0,342,3,0.0,2,0
0,737,4,0.0,2,0
0,7,0,75.0,1,0
0,13,0,75.0,1,0
0,14,0,98.0,2,0
0,14,0,98.0,2,0
0,0,0,107.0,2,0
0,9,0,103.0,2,0
0,85,0,82.0,2,1
0,75,0,105.5,2,1
0,23,0,123.0,2,1
0,35,0,145.0,2,0
0,68,0,97.0,2,0
0,18,1,154.77,2,0
0,37,0,94.71,2,0
0,68,0,97.0,2,0
0,37,0,97.5,2,0
0,12,0,88.2,2,0
0,0,0,107.42,2,0
0,7,0,153.0,2,0
0,37,0,97.29,1,0
0,72,1,84.67,2,0
0,72,1,84.67,2,0
0,72,1,99.67,2,0
0,127,0,94.95,2,0
1,78,0,63.6,2,0
0,48,0,79.5,2,0
0,60,0,107.0,2,1
0,77,0,94.0,2,0
1,99,0,87.3,2,0
0,118,2,62.0,1,0
0,95,0,63.86,2,0
0,96,0,108.3,2,1
0,69,0,65.5,2,0
0,45,0,108.8,3,1
0,40,0,108.8,3,1
0,15,0,98.0,2,0
0,36,0,108.8,3,0
0,43,0,108.8,3,1
0,70,0,137.0,2,0
0,45,0,117.81,2,1
0,45,0,79.5,2,0
0,16,0,123.0,2,0
0,70,0,137.0,2,0
0,107,0,110.7,2,0
0,47,0,153.0,2,1
0,96,0,58.95,2,0
0,113,0,82.88,2,0
0,90,1,82.35,2,0
0,50,1,119.35,2,0
0,113,0,67.58,2,0
0,93,0,56.01,2,0
0,76,0,110.7,2,0
1,3,0,88.2,2,0
1,1,0,147.0,2,0
1,1,0,107.0,2,0
0,0,0,147.0,2,0
0,0,0,117.9,2,0
0,0,0,123.0,2,0
0,14,0,98.0,2,0
0,10,0,117.81,2,0
1,5,0,135.0,2,0
0,17,0,133.0,2,0
0,93,0,58.95,2,0
0,3,0,136.33,2,1
1,10,0,153.0,2,0
0,3,0,110.5,2,0
0,51,0,97.0,2,0
0,71,0,110.3,3,1
0,63,0,82.0,2,1
0,62,0,97.0,2,1
0,101,0,73.8,2,1
0,2,0,91.5,2,0
0,15,0,114.5,2,0
0,51,0,110.3,3,1
1,3,0,90.9,2,0
0,48,0,123.0,2,1
0,2,0,122.0,1,0
1,72,0,110.7,2,0
0,81,0,85.86,3,0
0,99,0,58.95,2,0
0,368,0,55.68,2,1
0,364,0,55.68,2,0
0,81,2,124.0,2,1
0,99,0,111.15,2,0
0,324,0,134.73,2,0
0,69,1,92.45,2,0
0,79,0,108.73,2,1
0,12,0,73.8,2,0
1,9,0,98.0,2,0
0,1,0,131.0,2,0
0,21,0,123.0,2,0
0,9,0,94.71,2,0
0,109,0,123.0,2,0
0,109,0,123.0,2,1
0,72,0,73.8,2,1
0,63,0,117.0,2,1
0,63,0,196.54,3,0
1,101,0,99.3,2,0
0,102,0,90.95,2,0
0,4,0,92.67,2,0
1,98,0,71.55,2,0
0,92,0,96.49,1,0
1,95,0,85.8,2,0
0,102,0,96.3,2,0
0,26,0,163.0,2,1
0,73,0,172.0,3,1
0,102,0,110.7,2,1
0,115,0,58.95,2,0
0,102,0,73.8,2,0
0,86,0,97.0,2,0
0,78,0,139.0,2,0
0,52,0,67.24,2,0
0,29,0,116.5,3,0
0,101,0,96.3,2,1
0,109,0,123.0,2,0
0,92,0,71.55,2,0
0,92,0,71.55,2,0
0,79,1,149.0,2,0
1,2,1,163.0,2,0
0,30,0,79.5,2,0
0,51,0,105.0,1,1
0,36,1,123.0,1,1
0,73,0,73.8,2,1
0,33,0,113.0,2,1
0,32,2,0.0,4,0
0,8,0,123.0,2,0
1,100,0,73.8,2,0
0,1,0,114.5,2,0
0,100,0,73.8,2,0
0,100,0,73.8,2,0
0,9,0,88.2,2,0
0,5,0,97.0,2,1
0,0,1,85.1,2,0
0,9,0,89.0,1,0
0,2,0,80.1,1,0
0,2,0,98.0,2,0
1,9,0,101.0,1,0
0,5,0,97.0,2,1
0,2,0,167.0,2,0
2,44,3,225.0,3,0
1,80,0,97.0,2,0
0,97,0,87.3,2,0
1,109,0,85.59,2,0
0,30,0,123.0,2,0
0,64,0,107.0,2,0
0,39,0,163.0,2,0
0,90,0,82.0,2,0
0,34,0,163.0,2,1
0,93,0,105.5,2,1
1,97,1,164.2,2,0
0,29,0,97.29,2,0
0,101,0,114.0,2,1
0,27,0,98.4,2,0
1,8,1,175.0,2,0
1,82,0,63.6,2,0
1,94,3,124.45,3,0
0,110,0,110.7,2,0
0,96,0,74.07,1,0
0,79,0,134.1,2,0
0,115,1,167.0,2,0
0,111,0,123.0,2,0
1,51,0,117.81,2,0
0,94,0,171.32,3,0
1,81,0,210.0,2,0
0,84,1,97.0,2,0
0,51,0,117.81,3,0
0,111,0,0.0,2,0
0,0,0,0.0,1,0
0,2,0,131.0,2,0
0,7,0,98.0,2,0
1,98,0,87.3,2,0
0,95,0,97.0,2,0
0,48,0,167.0,2,1
0,66,0,91.5,2,0
0,104,1,73.8,2,0
0,28,0,123.0,2,0
1,34,0,175.0,2,0
1,98,0,117.8,2,0
0,104,1,117.63,2,0
0,68,0,185.0,2,0
0,86,0,71.0,1,1
0,258,0,47.25,2,0
0,111,0,151.0,2,0
0,94,0,87.3,2,1
0,112,0,120.6,2,0
0,100,1,63.86,2,0
0,33,5,157.1,2,0
0,97,0,91.37,2,0
0,80,1,73.0,1,0
0,90,0,110.7,2,0
0,111,0,93.6,2,0
0,65,0,83.5,2,0
0,67,0,73.8,2,1
1,55,0,82.0,2,0
0,21,0,185.5,2,0
0,8,0,0.0,2,0
0,8,0,0.0,2,0
0,0,0,109.8,1,0
1,0,0,195.0,3,0
0,0,0,109.8,1,0
0,8,2,193.0,3,0
0,66,0,97.0,2,0
0,88,0,150.0,3,0
0,0,2,98.0,2,0
0,43,0,91.5,2,1
0,88,0,139.0,2,1
0,54,0,79.5,2,0
0,292,0,47.25,2,1
0,112,0,126.65,2,0
0,68,0,107.0,2,0
1,7,0,131.0,2,0
1,1,0,131.0,2,0
0,113,0,123.0,2,1
0,5,0,146.0,2,0
0,83,0,110.7,2,0
0,105,0,73.8,2,1
0,0,0,61.0,1,0
0,1,0,104.72,2,1
0,1,0,104.72,2,1
1,1,0,104.72,2,0
0,102,0,66.42,2,1
1,113,1,77.96,2,0
0,280,0,112.0,2,1
0,96,0,107.0,2,0
0,394,0,89.68,2,0
0,33,0,155.0,2,0
0,82,0,112.0,3,0
0,100,1,130.1,3,0
0,100,0,100.1,2,0
0,17,0,123.0,2,0
1,68,0,124.0,3,0
1,12,2,146.0,2,0
0,77,0,97.0,2,1
0,24,0,123.0,2,1
0,44,0,153.0,2,1
0,78,0,82.0,2,0
0,17,0,105.08,2,1
0,103,0,65.42,2,1
0,16,0,98.0,1,0
1,14,0,75.46,2,0
0,77,0,65.5,2,0
0,90,0,90.95,2,0
0,90,0,93.6,2,0
0,90,0,119.25,2,0
0,366,0,134.73,2,0
0,249,0,112.0,2,0
0,69,0,118.13,2,1
0,10,0,131.0,2,0
0,22,0,88.2,2,0
0,91,0,73.8,2,0
0,23,0,98.0,2,0
0,11,0,110.5,2,0
0,3,0,131.0,2,0
1,13,2,185.0,2,0
0,108,1,87.3,2,0
0,91,0,73.8,2,0
0,37,0,120.0,2,0
0,21,0,98.0,2,0
0,106,0,96.3,2,0
0,30,0,197.0,2,0
0,30,0,197.0,2,0
0,51,0,123.0,2,1
0,79,0,82.0,2,0
1,21,1,165.0,2,0
0,35,0,149.4,2,0
1,78,1,106.84,2,0
1,31,1,161.0,2,0
0,78,1,134.43,2,0
1,78,1,144.43,2,0
0,44,2,152.0,1,0
0,34,0,125.54,2,0
0,87,0,133.83,2,0
1,11,0,159.75,3,0
0,115,0,120.6,2,0
0,86,0,112.2,2,0
0,41,0,110.6,2,0
0,32,0,105.9,2,0
0,34,0,95.27,2,0
0,34,0,108.83,2,0
0,100,0,153.96,2,1
0,44,0,120.6,2,0
0,304,1,90.67,2,0
0,36,0,126.67,2,1
0,117,0,144.4,3,0
1,70,0,99.5,2,0
0,110,0,139.4,2,0
0,109,0,73.8,2,1
0,33,0,89.97,2,0
0,33,0,123.0,2,0
0,33,1,123.0,2,0
0,0,0,123.0,1,0
0,0,1,144.9,2,0
0,0,0,153.0,2,0
0,0,0,131.0,2,0
1,84,0,100.0,2,0
0,71,0,65.5,2,0
0,16,0,123.0,2,0
0,54,0,123.0,2,0
0,8,0,131.0,2,0
1,36,0,104.68,2,0
0,40,0,166.0,2,0
0,59,0,111.25,2,1
0,79,1,213.75,2,0
1,32,1,178.0,2,0
0,110,0,113.9,2,0
1,33,0,129.29,2,0
1,53,0,153.0,2,0
1,2,0,98.0,2,0
1,8,0,169.0,2,0
0,72,0,93.0,2,1
0,12,0,132.29,2,0
0,48,0,123.0,2,0
0,90,0,117.22,2,0
0,34,1,149.0,2,0
0,58,0,164.57,3,1
0,59,0,107.0,2,0
1,90,0,117.22,2,0
0,116,0,119.25,2,0
0,31,0,123.0,2,0
0,51,0,105.71,2,1
0,48,0,123.0,2,0
1,59,0,144.43,2,0
0,97,0,126.0,2,1
1,12,0,148.3,2,0
0,64,0,125.22,2,0
0,31,0,123.0,2,0
1,59,0,130.0,2,0
0,55,2,133.16,2,1
0,81,0,78.84,2,0
0,1,0,80.1,2,0
0,34,0,193.0,2,0
0,13,0,88.2,2,0
0,40,0,90.71,2,0
0,1,0,114.5,2,0
0,34,0,120.2,2,0
0,88,1,79.5,2,0
0,9,0,117.9,2,0
0,24,0,128.0,2,1
0,97,0,90.95,2,0
0,60,2,107.0,2,0
1,100,0,130.05,2,0
0,50,0,123.0,2,0
0,47,0,103.8,2,1
0,8,0,196.0,2,0
1,34,0,149.4,2,0
0,47,0,175.71,2,0
0,115,1,119.7,2,0
0,79,0,100.86,2,1
0,91,0,100.86,2,0
0,98,0,82.0,2,0
0,109,0,73.8,2,0
1,0,0,117.9,2,0
0,98,0,82.0,2,0
0,0,0,150.0,4,0
1,9,0,161.0,2,0
0,62,0,64.0,2,0
0,45,0,123.0,2,1
1,42,0,110.0,2,0
1,54,0,88.2,2,0
1,51,0,130.0,2,0
0,54,0,88.2,2,0
1,58,2,165.0,2,0
0,0,0,114.0,1,0
0,60,0,79.5,2,1
0,321,0,132.8,2,1
0,40,0,120.0,2,0
0,51,0,79.5,2,1
0,38,0,120.0,2,0
0,75,0,144.2,2,1
0,101,0,107.2,2,0
0,42,0,120.0,2,1
0,40,0,120.0,2,0
0,109,0,163.8,3,0
0,81,0,98.5,2,1
0,98,0,130.5,2,1
0,32,2,153.0,1,0
0,72,0,98.5,2,0
0,115,0,119.7,2,0
0,118,0,184.6,2,0
0,81,0,181.22,2,0
0,95,0,100.86,2,1
1,16,0,100.2,2,0
1,56,1,134.25,2,0
0,88,0,96.3,2,0
0,41,0,83.09,2,0
0,40,0,105.5,2,1
0,1,0,134.0,1,0
0,1,2,8.0,2,0
1,1,1,146.0,2,0
0,76,0,126.0,2,1
0,0,0,111.15,2,0
0,49,1,136.2,2,0
0,76,0,101.8,2,0
0,73,0,127.0,2,0
0,73,0,161.5,2,0
1,317,1,230.67,2,0
0,112,0,65.7,1,1
1,6,0,180.0,2,0
0,8,1,168.57,2,0
0,96,0,107.67,2,1
0,96,0,96.9,2,1
0,99,0,107.0,2,0
0,66,0,73.41,2,0
0,38,0,109.9,2,0
0,38,1,109.9,2,0
1,113,1,187.5,3,0
0,0,0,134.0,1,0
0,62,0,91.5,2,1
0,39,0,132.44,2,1
0,37,0,106.9,2,0
0,58,0,131.86,2,1
1,37,0,216.13,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,83,0,190.33,2,0
0,57,0,107.0,2,0
0,57,1,94.0,1,0
0,57,0,0.0,2,1
0,57,0,98.75,2,0
0,57,1,148.23,3,0
0,57,1,94.0,1,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,1,148.23,3,0
0,57,1,0.0,1,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,107.0,2,0
0,57,0,98.75,2,0
0,66,0,195.0,2,1
0,13,0,120.6,2,0
0,50,0,123.2,2,0
0,48,0,112.0,1,1
0,0,0,123.2,2,1
1,7,1,169.0,2,0
1,0,1,198.0,2,0
0,66,0,103.5,2,1
0,13,0,135.6,2,0
0,66,0,103.5,2,0
1,10,0,184.0,2,0
0,10,0,134.0,2,1
0,58,0,147.0,2,1
0,17,0,151.33,2,1
0,19,0,121.33,2,0
0,10,0,150.2,2,0
0,12,0,139.0,2,1
0,10,1,150.2,1,0
0,63,0,75.44,2,0
0,35,0,135.0,2,1
0,113,0,166.0,2,0
0,35,0,135.0,2,1
0,68,0,130.0,2,0
0,113,1,96.3,2,0
0,21,1,160.0,1,0
0,6,0,0.0,2,0
0,7,0,127.25,2,0
0,17,0,164.0,2,0
0,1,0,144.5,2,0
0,2,0,112.0,2,0
0,15,0,134.0,2,1
0,7,0,127.25,2,1
1,11,0,155.5,2,0
0,6,0,110.5,2,1
0,1,0,144.5,2,0
0,1,0,144.5,2,0
0,48,0,123.0,2,0
0,15,0,120.6,2,0
0,3,0,107.6,1,1
0,23,0,120.6,2,1
0,53,0,107.0,2,0
1,53,0,133.75,2,0
0,94,0,103.5,2,0
0,64,0,84.8,1,0
0,53,0,107.0,2,0
1,53,0,107.0,1,0
0,64,0,84.8,1,0
1,53,0,107.0,2,0
0,24,1,195.0,3,0
0,24,0,164.0,2,0
0,23,0,195.0,2,0
0,53,1,125.0,2,0
0,23,0,195.0,2,1
0,90,1,132.3,2,0
0,79,0,145.0,2,0
0,43,0,92.0,2,0
0,90,1,132.3,2,0
0,65,0,147.0,2,0
1,65,0,167.0,2,0
0,99,0,210.0,3,0
0,25,1,194.9,2,0
1,92,3,103.5,2,0
0,91,3,118.5,2,0
0,38,1,192.0,2,0
0,6,0,128.27,2,0
0,38,0,135.0,2,0
0,13,0,126.3,2,0
0,32,0,154.0,2,1
0,315,0,96.3,2,0
0,8,0,126.3,2,0
0,0,0,136.0,2,1
0,91,4,118.5,2,0
1,3,0,116.33,2,0
0,9,0,164.0,3,0
0,19,0,147.67,2,0
0,25,0,145.0,2,0
1,108,1,147.0,2,0
0,37,0,168.3,2,1
0,45,0,167.0,2,0
1,64,0,137.75,2,0
0,44,1,145.0,2,0
1,26,0,132.6,2,0
0,96,0,147.0,2,1
0,123,1,157.0,2,1
0,42,0,210.0,2,1
0,59,0,132.5,2,0
0,28,0,98.02,2,0
0,106,0,126.0,2,0
0,1,0,173.0,2,0
0,0,0,249.0,2,0
0,4,0,186.5,1,0
0,3,0,95.0,1,0
0,73,0,241.5,2,0
1,44,0,177.0,2,0
1,95,0,153.73,2,0
0,94,0,115.0,2,0
0,40,0,127.03,2,1
0,64,0,128.25,2,0
0,64,0,128.25,2,0
0,94,0,115.0,2,0
0,57,0,135.0,2,0
0,60,0,167.0,2,1
0,57,0,135.0,2,0
0,87,0,124.5,2,0
0,0,0,98.0,2,0
1,0,0,98.0,2,0
0,6,0,135.0,2,0
0,0,0,88.2,2,0
1,19,0,120.6,2,0
1,4,0,154.5,2,0
0,59,0,145.0,2,1
0,44,0,92.0,2,0
0,37,0,154.0,2,1
0,66,0,115.0,2,0
0,38,0,110.53,1,1
0,62,0,158.5,2,1
0,41,0,131.37,2,0
0,60,0,117.71,2,1
0,104,0,123.0,2,0
0,62,0,158.5,2,1
0,117,1,117.84,2,0
0,31,0,154.0,2,1
0,34,0,116.85,2,0
0,47,0,129.16,2,0
0,24,0,214.0,2,1
0,104,0,115.0,2,1
0,104,0,123.0,2,0
0,32,0,123.0,2,0
0,47,0,195.0,2,1
0,29,0,135.2,2,0
0,30,0,123.0,2,0
0,123,2,130.5,2,0
0,14,0,123.0,1,0
0,118,0,179.1,2,1
0,0,0,0.0,1,0
0,0,0,0.0,2,0
0,79,0,115.0,2,0
0,63,0,115.0,2,0
1,68,3,103.5,2,0
1,96,0,157.0,2,0
0,41,0,135.0,2,1
0,46,0,111.65,2,0
0,41,0,135.0,2,1
0,60,0,195.0,2,1
0,41,0,104.0,2,0
0,69,0,135.0,2,1
0,41,0,214.0,2,1
0,52,0,133.17,2,0
0,41,1,141.33,2,1
0,89,0,121.01,2,0
0,28,0,240.64,2,1
0,65,0,167.5,2,0
0,82,0,152.43,2,0
0,42,0,148.34,2,0
0,62,1,167.0,2,0
0,86,1,172.93,2,1
0,118,0,179.1,2,1
0,28,0,192.5,2,0
0,52,0,92.0,2,1
0,49,0,111.2,2,1
0,39,1,141.6,2,0
0,39,0,141.6,2,0
0,39,0,141.6,2,0
0,7,0,200.0,2,1
0,7,0,200.0,2,1
0,42,0,157.0,2,1
0,5,0,99.5,1,0
0,81,0,115.0,2,1
0,63,0,195.0,2,1
0,61,0,103.5,2,0
1,8,1,207.0,3,0
1,89,0,163.33,3,0
0,57,0,151.86,2,0
0,102,0,95.57,3,0
0,108,0,112.05,2,0
0,28,0,160.0,2,0
0,29,0,103.18,2,0
1,0,0,153.0,2,0
0,96,0,119.75,2,1
0,44,0,135.0,2,1
0,44,1,167.69,2,0
0,44,0,195.0,2,1
0,44,0,135.0,2,1
0,41,0,178.4,2,1
0,16,0,0.0,2,0
0,73,1,0.0,2,0
1,3,0,154.0,2,0
0,0,0,134.0,2,0
0,55,0,112.0,1,1
1,33,1,194.0,2,0
0,19,0,153.0,2,1
0,55,0,135.0,2,1
0,33,0,184.0,2,0
0,19,0,210.0,2,1
0,19,0,139.0,2,1
1,117,0,101.46,2,0
0,72,0,145.0,2,1
0,19,0,173.0,2,1
1,34,1,217.05,3,0
0,9,0,164.0,2,0
0,8,0,173.0,2,0
0,36,0,112.5,2,1
0,22,0,153.0,2,0
0,22,0,173.0,2,0
0,22,0,153.0,2,0
0,36,0,134.0,2,0
0,22,0,153.0,2,0
0,22,0,233.0,2,1
0,18,0,154.0,2,0
0,8,0,173.0,2,0
0,67,0,135.0,2,1
0,105,0,132.5,2,1
0,1,2,222.67,3,0
0,67,0,135.0,2,1
0,39,0,107.0,2,0
0,45,0,127.0,2,1
0,45,0,135.0,2,1
1,14,0,149.7,2,0
0,53,0,161.25,2,1
0,28,0,107.0,2,0
0,55,0,75.44,2,0
0,55,0,75.44,2,0
0,25,1,115.0,2,0
0,43,0,159.2,2,1
0,109,0,163.29,2,1
0,62,0,210.0,2,1
0,25,0,154.0,2,0
0,43,0,166.0,2,0
0,35,0,132.5,2,0
0,42,0,107.0,2,1
0,312,0,121.98,3,1
0,30,0,0.0,2,0
0,47,0,133.0,2,0
0,40,0,107.0,2,0
0,11,0,117.81,2,0
0,39,0,107.0,2,0
